星上时间,反向数控衰减数据TMZ123源码,馈电1俯仰角TMZ150工程值,接收阵波束3方位角TMZ159工程值,接收阵波束4俯仰角TMZ162工程值,发射等通量模式TMZ194工程值,发射阵1-波束2衰减量TMZ296工程值,发射阵2-波束3ALC控制量TMZ341工程值,发射阵2-波束4ALCTMZ322工程值,发射阵1-波束2衰减量TMZ296源码,发射2-波束4ALC控制量（快）TMZ122源码,发射阵2-波束4衰减量TMZ338源码,接收阵波束3俯仰角TMZ160源码,发射阵1-波束3ALC控制量TMZ301工程值,接收阵波束1方位角TMZ155源码,发射阵1-波束1ALCTMZ279源码,馈电1方位角TMZ151工程值,发射阵1-波束3ALCTMZ281工程值,馈电2信关站TMZ152工程值,发射阵1-波束4衰减量TMZ298源码,馈电1方位角TMZ151源码,发射阵1-波束1衰减量TMZ295工程值,接收阵-波束1衰减量TMZ375工程值,发射等通量模式TMZ194源码,变频转发器锁定指示1TMZ204源码,发射阵1-波束4ALCTMZ282源码,发射阵2-波束3ALCTMZ321工程值,接收阵波束2俯仰角TMZ158源码,变频转发器锁定指示2TMZ205工程值,接收阵-波束2信道化控制量TMZ380源码,变频转发器前向变频功率TMZ061源码,发射阵2-波束2ALC控制量TMZ340源码,接收阵波束4方位角TMZ161源码,接收阵-波束4信道化控制量TMZ382源码,接收阵-波束2衰减量TMZ376工程值,发射阵2-波束2衰减量TMZ336工程值,发射阵2-波束1ALC控制量TMZ339工程值,发射阵2-波束1衰减量TMZ335工程值,发射阵1-波束4衰减量TMZ298工程值,变频转发器前向变频功率TMZ061工程值,发射2-波束4ALC控制量（快）TMZ122工程值,发射阵2-波束4衰减量TMZ338工程值,发射阵2-波束3ALC控制量TMZ341源码,接收阵-波束3信道化控制量TMZ381工程值,变频转发器锁定指示1TMZ204工程值,反向数控衰减数据TMZ123工程值,反向额定输入通量密度TMZ196工程值,发射阵2-波束3ALCTMZ321源码,接收阵波束4俯仰角TMZ162源码,馈电2方位角TMZ154工程值,变频转发器功放2功率TMZ208源码,馈电1信关站TMZ149源码,发射阵1-波束3衰减量TMZ297源码,发射阵1-波束2ALCTMZ280源码,变频转发器功放1功率TMZ060工程值,接收阵-波束1信道化控制量TMZ379源码,接收阵-波束3信道化控制量TMZ381源码,发射阵1-波束3衰减量TMZ297工程值,馈电1信关站TMZ149工程值,接收阵-波束4衰减量TMZ378工程值,变频转发器锁定指示2TMZ205源码,接收阵-波束2信道化控制量TMZ380工程值,发射阵1-波束1ALCTMZ279工程值,发射阵2-波束2ALCTMZ320工程值,发射阵2-波束3衰减量TMZ337源码,接收阵波束1俯仰角TMZ156源码,反向路径补偿模式TMZ195工程值,发射阵2-波束1ALC控制量TMZ339源码,发射阵1-波束3ALCTMZ281源码,接收阵-波束2衰减量TMZ376源码,馈电2俯仰角TMZ153工程值,接收阵-波束4信道化控制量TMZ382工程值,发射阵2-波束状态TMZ323工程值,反向额定输入通量密度TMZ196源码,馈电2信关站TMZ152源码,馈电2俯仰角TMZ153源码,接收阵-波束4衰减量TMZ378源码,发射阵2-波束4ALCTMZ322源码,发射阵2-波束3衰减量TMZ337工程值,变频转发器功放1功率TMZ060源码,发射阵1-波束3ALC控制量TMZ301源码,发射阵1-波束4ALC控制量TMZ302源码,发射阵2-波束2衰减量TMZ336源码,接收阵波束2方位角TMZ157工程值,接收阵波束3方位角TMZ159源码,发射阵2-波束1ALCTMZ319工程值,发射阵1-波束4ALCTMZ282工程值,反向路径补偿模式TMZ195源码,接收阵波束2俯仰角TMZ158工程值,发射阵2-波束1衰减量TMZ335源码,接收阵波束4方位角TMZ161工程值,发射阵1-波束4ALC控制量TMZ302工程值,接收阵-波束3衰减量TMZ377工程值,发射阵1-波束2ALC控制量TMZ300源码,发射阵2-波束1ALCTMZ319源码,发射阵2-波束2ALCTMZ320源码,变频转发器功放2功率TMZ208工程值,馈电2方位角TMZ154源码,接收阵波束1方位角TMZ155工程值,接收阵波束2方位角TMZ157源码,发射阵1-波束1ALC控制量TMZ299工程值,接收阵-波束1衰减量TMZ375源码,发射阵2-波束4ALC控制量TMZ342源码,发射阵1-波束1ALC控制量TMZ299源码,馈电1俯仰角TMZ150源码,接收阵波束3俯仰角TMZ160工程值,发射阵2-波束4ALC控制量TMZ342工程值,接收阵-波束3衰减量TMZ377源码,发射阵1-波束1衰减量TMZ295源码,发射阵2-波束2ALC控制量TMZ340工程值,发射阵1-波束2ALCTMZ280工程值,发射阵1-波束2ALC控制量TMZ300工程值,发射阵2-波束状态TMZ323源码,接收阵-波束1信道化控制量TMZ379工程值,接收阵波束1俯仰角TMZ156工程值
2025-02-20 01:45:09.626,16,,,,,,,,,7e,,,,,,,,,,,,,,,,,,,,05,,,,,,,,,-13.82371902,126.0,,,,,18.5,,,,,,,,,28.00312424,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-20 01:45:17.626,16,,,,,,,,,7e,,,,,,,,,,,,,,,,,,,,05,,,,,,,,,-13.82371902,126.0,,,,,18.5,,,,,,,,,28.00312424,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-20 01:45:25.627,16,,,,,,,,,7e,,,,,,,,,,,,,,,,,,,,05,,,,,,,,,-13.82371902,126.0,,,,,18.5,,,,,,,,,28.00312424,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-20 01:45:33.626,16,,,,,,,,,7e,,,,,,,,,,,,,,,,,,,,05,,,,,,,,,-13.82371902,126.0,,,,,18.5,,,,,,,,,28.00312424,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-20 01:45:41.626,16,,,,,,,,,7e,,,,,,,,,,,,,,,,,,,,05,,,,,,,,,-13.82371902,126.0,,,,,18.5,,,,,,,,,28.00312424,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-20 01:45:49.626,16,,,,,,,,,7e,,,,,,,,,,,,,,,,,,,,05,,,,,,,,,-13.82371902,126.0,,,,,18.5,,,,,,,,,28.00312424,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-20 01:45:57.626,16,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,0d,,,,,,,,,-9.55100727,87.0,,,,,18.5,,,,,,,,,37.26992035,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-20 01:46:05.626,16,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,0e,,,,,,,,,-9.08660221,87.0,,,,,18.5,,,,,,,,,37.01395035,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-20 01:46:13.626,16,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,0e,,,,,,,,,-9.08660221,88.0,,,,,18.5,,,,,,,,,39.47931671,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-20 01:46:21.626,16,44.49000168,26.96999931,44.61999893,非等通量,0.0,85.0,1.22314453,0.0,58,0.0,116e,80.0,0a89,3100,26.12999916,0.81176758,255.0,0.0,0a35,0.0,26.0,0.0,76.0,1d40,1.31103516,116e,2.48046875,20,0f,57,0a89,1d,26.0,0.0,84.0,0.0,0.0,-8.63644886,88.0,0.0,55,29.0,2.3046875,18.5,-92.0,4320,116e,0.0,6b,11,0.0,1f40,40.54949951,21,1d,0.0,17.0,26.0,7f,32.0,0.95703125,1.015625,0.0,116e,路径补偿,54,2990,1a,0.0,29.0,开启,8.0,ff,0000,1a,3ea0,0.0,80,50,58,0.0,26.96999931,0a89,1.0144043,0.57128906,0.0,44.61999893,0.0,26.96999931,88.0,26.0,56,33f0,3400,40.12747192,0000,26.96999931,0a89,78.0,1a,58,4e,1161,44.61999893,88.0,1a,0.0,87.0,0.61035156,86.0,ff,33.0,44.61999893
2025-02-20 01:46:29.626,16,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,0f,,,,,,,,,-8.63644886,89.0,,,,,18.5,,,,,,,,,40.49497986,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-20 01:46:37.628,16,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,-8.2001915,89.0,,,,,18.5,,,,,,,,,40.6701889,,,,,,,,,,,,,,,,,,,,,,,,,7b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-20 01:46:45.628,16,,,,,,,,,5a,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,-8.2001915,90.0,,,,,18.5,,,,,,,,,40.66459656,,,,,,,,,,,,,,,,,,,,,,,,,7c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
